Datum;Sch채tzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Sch채tzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Sch채tzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Sch채tzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert;;;;;;
02.03.2020;304;292;319;225;213;238;.;.;.;.;.;.;;;;;;
03.03.2020;321;304;337;261;248;276;.;.;.;.;.;.;;;;;;
04.03.2020;448;430;467;326;311;342;.;.;.;.;.;.;;;;;;
05.03.2020;503;485;525;394;378;412;.;.;.;.;.;.;;;;;;
06.03.2020;757;732;783;507;488;528;2;25;2;18;2;33;2;34;2;28;2;39
07.03.2020;984;958;1010;673;651;696;2;58;2;49;2;68;2;56;2;51;2;61
08.03.2020;1336;1308;1370;895;870;922;2;75;2;68;2;83;2;93;2;88;2;98
09.03.2020;2021;1985;2052;1274;1245;1304;3;23;3;16;3;30;3;13;3;8;3;18
10.03.2020;2573;2529;2623;1728;1695;1764;3;41;3;33;3;49;3;22;3;18;3;26
11.03.2020;3237;3190;3283;2292;2253;2332;3;41;3;33;3;49;3;12;3;8;3;16
12.03.2020;3601;3537;3648;2858;2810;2901;3;19;3;14;3;25;2;84;2;82;2;87
13.03.2020;4356;4301;4408;3442;3389;3490;2;70;2;66;2;74;2;50;2;48;2;52
14.03.2020;4433;4373;4492;3907;3850;3958;2;26;2;23;2;29;2;18;2;17;2;20
15.03.2020;4678;4618;4734;4267;4207;4320;1;86;1;84;1;88;1;99;1;98;2;0
16.03.2020;6016;5952;6075;4871;4811;4927;1;70;1;68;1;72;1;74;1;73;1;75
17.03.2020;5235;5166;5296;5090;5027;5149;1;48;1;46;1;49;1;56;1;55;1;57
18.03.2020;5288;5231;5346;5304;5242;5363;1;36;1;34;1;37;1;39;1;39;1;40
19.03.2020;4725;4668;4780;5316;5254;5374;1;25;1;24;1;26;1;24;1;23;1;24
20.03.2020;5329;5262;5380;5144;5082;5200;1;6;1;5;1;7;1;13;1;13;1;14
21.03.2020;4442;4383;4501;4946;4886;5001;0;97;0;96;0;98;1;4;1;3;1;4
22.03.2020;3818;3759;3866;4578;4518;4631;0;86;0;86;0;87;0;98;0;97;0;98
23.03.2020;5157;5095;5222;4686;4625;4742;0;88;0;87;0;89;0;92;0;92;0;92
24.03.2020;4076;4024;4138;4373;4315;4432;0;85;0;84;0;86;0;90;0;89;0;90
25.03.2020;4418;4357;4471;4367;4309;4424;0;88;0;87;0;89;0;90;0;89;0;90
26.03.2020;3998;3933;4063;4412;4352;4473;0;96;0;96;0;97;0;88;0;88;0;89
27.03.2020;4122;4056;4184;4153;4092;4214;0;89;0;88;0;89;0;90;0;89;0;90
28.03.2020;3888;3837;3953;4106;4046;4168;0;94;0;93;0;95;0;90;0;90;0;91
29.03.2020;3261;3206;3322;3817;3758;3880;0;87;0;86;0;88;0;90;0;90;0;91
30.03.2020;4394;4331;4462;3916;3857;3980;0;89;0;88;0;90;0;92;0;92;0;93
31.03.2020;3574;3519;3647;3779;3723;3846;0;91;0;90;0;92;0;93;0;92;0;93
01.04.2020;4040;3981;4105;3817;3759;3884;0;93;0;92;0;94;0;93;0;93;0;94
02.04.2020;3724;3671;3790;3933;3875;4001;1;3;1;2;1;4;0;95;0;94;0;95
03.04.2020;3730;3659;3792;3767;3707;3833;0;96;0;95;0;97;0;93;0;92;0;94
04.04.2020;3006;2953;3061;3625;3566;3687;0;96;0;95;0;97;0;92;0;92;0;93
05.04.2020;2700;2645;2745;3290;3232;3347;0;86;0;85;0;87;0;89;0;89;0;90
06.04.2020;3342;3285;3389;3195;3135;3247;0;81;0;80;0;82;0;89;0;88;0;89
07.04.2020;3054;3003;3117;3025;2971;3078;0;80;0;79;0;81;0;87;0;87;0;88
08.04.2020;2872;2815;2935;2992;2937;3046;0;83;0;82;0;84;0;85;0;84;0;86
09.04.2020;2700;2658;2757;2992;2940;3049;0;91;0;90;0;92;0;83;0;82;0;84
10.04.2020;2326;2276;2376;2738;2688;2796;0;86;0;85;0;87;0;81;0;80;0;81
11.04.2020;2016;1966;2064;2478;2429;2533;0;82;0;81;0;83;0;81;0;81;0;82
12.04.2020;1952;1905;2000;2248;2201;2299;0;75;0;74;0;76;0;79;0;78;0;79
13.04.2020;1887;1840;1933;2045;1997;2093;0;68;0;67;0;69;0;79;0;78;0;79
14.04.2020;1952;1902;2002;1952;1903;2000;0;71;0;70;0;72;0;78;0;77;0;78
15.04.2020;1940;1886;1986;1933;1883;1980;0;78;0;77;0;79;0;76;0;75;0;76
16.04.2020;1751;1699;1793;1882;1832;1928;0;84;0;82;0;85;0;78;0;78;0;79
17.04.2020;1642;1596;1687;1821;1771;1867;0;89;0;88;0;91;0;80;0;79;0;81
18.04.2020;1433;1392;1480;1692;1643;1736;0;87;0;85;0;88;0;81;0;80;0;82
19.04.2020;1310;1258;1352;1534;1486;1578;0;79;0;78;0;81;0;84;0;83;0;85
20.04.2020;1578;1540;1619;1491;1446;1534;0;79;0;78;0;81;0;84;0;83;0;85
21.04.2020;1350;1303;1393;1418;1373;1461;0;78;0;76;0;79;0;82;0;82;0;83
22.04.2020;1293;1253;1342;1383;1339;1426;0;82;0;80;0;83;0;83;0;82;0;84
23.04.2020;1268;1232;1302;1372;1332;1414;0;89;0;88;0;91;0;81;0;80;0;82
24.04.2020;1146;1107;1190;1264;1224;1306;0;85;0;83;0;86;0;81;0;80;0;82
25.04.2020;1007;968;1044;1178;1140;1219;0;83;0;81;0;85;0;83;0;81;0;84
26.04.2020;904;867;942;1081;1043;1119;0;78;0;76;0;80;0;82;0;81;0;83
27.04.2020;1100;1063;1144;1039;1001;1080;0;76;0;74;0;77;0;82;0;81;0;83
28.04.2020;942;906;977;988;951;1027;0;78;0;76;0;80;0;81;0;80;0;82
29.04.2020;866;827;904;953;916;992;0;81;0;79;0;83;0;81;0;80;0;82
30.04.2020;936;907;969;961;926;998;0;89;0;87;0;91;0;81;0;80;0;83
01.05.2020;816;781;854;890;855;926;0;86;0;83;0;88;0;82;0;81;0;84
02.05.2020;741;711;773;840;806;875;0;85;0;83;0;87;0;85;0;84;0;87
03.05.2020;755;718;784;812;779;845;0;85;0;83;0;88;0;86;0;85;0;88
04.05.2020;890;858;921;801;767;833;0;83;0;81;0;85;0;89;0;87;0;90
05.05.2020;815;785;853;800;768;832;0;90;0;88;0;93;0;90;0;89;0;92
06.05.2020;744;713;782;801;768;835;0;95;0;93;0;99;0;89;0;87;0;90
07.05.2020;705;674;738;788;757;823;0;97;0;94;1;0;0;90;0;88;0;91
08.05.2020;679;646;709;736;704;770;0;92;0;89;0;95;0;89;0;88;0;90
09.05.2020;580;547;614;677;645;711;0;85;0;82;0;87;0;87;0;86;0;88
10.05.2020;556;522;585;630;597;661;0;79;0;76;0;81;0;87;0;85;0;88
11.05.2020;666;638;703;620;588;652;0;79;0;76;0;81;0;85;0;84;0;86
12.05.2020;621;593;649;606;575;637;0;82;0;80;0;84;0;85;0;84;0;86
13.05.2020;589;555;621;608;577;639;0;90;0;87;0;93;0;85;0;83;0;86
14.05.2020;528;495;558;601;570;632;0;95;0;92;0;98;0;89;0;87;0;91
15.05.2020;678;646;705;604;572;633;0;97;0;94;1;1;0;92;0;91;0;94
16.05.2020;560;537;592;589;558;619;0;97;0;94;1;1;0;93;0;91;0;95
17.05.2020;442;417;473;552;523;582;0;91;0;87;0;94;0;96;0;94;0;97
18.05.2020;615;584;639;574;546;602;0;96;0;92;0;99;0;92;0;90;0;94
19.05.2020;466;439;491;521;494;548;0;86;0;83;0;89;0;92;0;90;0;93
20.05.2020;562;530;598;521;492;550;0;89;0;86;0;92;0;91;0;89;0;93
21.05.2020;389;358;415;508;477;536;0;92;0;89;0;95;0;85;0;83;0;86
22.05.2020;387;361;413;451;422;479;0;79;0;75;0;83;0;83;0;82;0;85
23.05.2020;366;341;388;426;397;453;0;82;0;78;0;85;0;82;0;80;0;84
24.05.2020;371;345;395;378;351;403;0;73;0;70;0;76;0;81;0;79;0;83
25.05.2020;468;444;497;398;373;423;0;78;0;76;0;81;0;87;0;85;0;89
26.05.2020;435;413;463;410;386;436;0;91;0;87;0;95;0;89;0;87;0;91
27.05.2020;454;430;480;432;408;459;1;1;0;97;1;5;0;91;0;89;0;93
28.05.2020;378;345;401;434;408;460;1;15;1;11;1;19;0;94;0;92;0;96
29.05.2020;347;330;366;403;379;427;1;1;0;97;1;5;0;92;0;90;0;94
30.05.2020;291;266;312;367;342;390;0;90;0;86;0;94;0;92;0;90;0;94
31.05.2020;269;249;291;321;297;342;0;74;0;71;0;78;0;87;0;85;0;89
01.06.2020;327;308;353;308;288;331;0;71;0;68;0;74;0;89;0;86;0;91
02.06.2020;439;413;468;331;309;356;0;82;0;79;0;86;0;89;0;87;0;91
03.06.2020;400;371;429;359;335;385;0;98;0;94;1;2;0;91;0;89;0;94
04.06.2020;342;323;368;377;354;404;1;17;1;12;1;23;0;95;0;93;0;98
05.06.2020;319;297;344;375;351;402;1;22;1;15;1;27;0;96;0;93;0;98
06.06.2020;300;282;324;340;318;366;1;3;0;98;1;8;0;96;0;94;0;99
07.06.2020;231;208;259;298;277;324;0;83;0;78;0;87;1;1;0;98;1;3
08.06.2020;409;383;433;315;292;340;0;84;0;80;0;88;1;3;1;0;1;5
09.06.2020;450;424;479;348;324;373;0;93;0;88;0;97;1;4;1;1;1;6
10.06.2020;433;404;459;381;355;407;1;12;1;7;1;16;1;6;1;3;1;9
11.06.2020;367;345;388;415;389;440;1;39;1;33;1;47;1;5;1;2;1;7
12.06.2020;375;348;398;406;380;431;1;29;1;22;1;35;1;7;1;5;1;10
13.06.2020;366;336;388;385;358;408;1;11;1;5;1;15;1;11;1;9;1;14
14.06.2020;355;328;381;366;339;389;0;96;0;92;1;1;1;19;1;16;1;22
15.06.2020;645;611;685;435;406;463;1;5;1;0;1;10;1;43;1;39;1;46
16.06.2020;1115;1079;1151;620;588;651;1;53;1;47;1;59;1;48;1;44;1;51
17.06.2020;660;630;697;694;662;728;1;80;1;73;1;87;1;47;1;44;1;50
18.06.2020;536;503;565;739;705;774;2;2;1;95;2;10;1;42;1;39;1;45
19.06.2020;572;529;606;721;685;755;1;66;1;60;1;73;1;19;1;17;1;22
20.06.2020;475;441;511;561;526;595;0;90;0;87;0;94;1;13;1;10;1;15
21.06.2020;367;340;395;487;453;519;0;70;0;67;0;73;1;4;1;1;1;6
22.06.2020;471;441;502;471;438;504;0;64;0;61;0;67;0;83;0;81;0;84
23.06.2020;431;404;459;436;406;467;0;60;0;58;0;63;0;76;0;75;0;78
24.06.2020;469;440;494;434;406;463;0;77;0;74;0;81;0;73;0;71;0;74
25.06.2020;409;384;437;445;417;473;0;91;0;87;0;95;0;73;0;71;0;74
26.06.2020;431;403;455;435;407;461;0;92;0;88;0;97;0;83;0;82;0;86
27.06.2020;352;326;375;415;388;440;0;95;0;90;1;0;0;87;0;85;0;89
28.06.2020;312;286;337;376;349;401;0;87;0;82;0;91;0;89;0;87;0;91
29.06.2020;426;401;451;380;354;404;0;86;0;82;0;89;0;93;0;91;0;95
30.06.2020;436;410;458;382;355;405;0;88;0;84;0;91;0;95;0;92;0;97
01.07.2020;405;378;429;395;368;418;0;95;0;91;1;0;0;94;0;92;0;96
02.07.2020;342;317;369;402;376;427;1;7;1;3;1;11;0;93;0;90;0;95
03.07.2020;345;323;367;382;357;406;1;0;0;95;1;5;0;90;0;88;0;93
04.07.2020;298;272;322;348;322;372;0;91;0;87;0;96;0;92;0;90;0;94
05.07.2020;291;268;316;319;295;343;0;81;0;77;0;85;0;92;0;90;0;95
06.07.2020;371;350;393;327;303;349;0;81;0;78;0;85;0;93;0;91;0;96
07.07.2020;377;353;398;334;310;357;0;88;0;84;0;92;0;93;0;91;0;95
08.07.2020;357;330;384;349;325;372;1;0;0;96;1;5;0;95;0;93;0;97
09.07.2020;377;358;398;371;348;393;1;16;1;11;1;22;1;1;0;98;1;3
10.07.2020;430;406;459;385;362;409;1;18;1;13;1;24;1;7;1;3;1;10
11.07.2020;385;363;407;387;364;412;1;16;1;11;1;22;1;12;1;9;1;14
12.07.2020;359;334;384;388;365;412;1;11;1;6;1;15;1;17;1;14;1;20
13.07.2020;543;517;573;429;405;455;1;16;1;11;1;21;1;19;1;16;1;21
14.07.2020;519;491;550;451;426;478;1;17;1;12;1;23;1;23;1;20;1;25
15.07.2020;558;530;592;495;468;525;1;28;1;21;1;33;1;23;1;20;1;26
16.07.2020;469;438;498;522;494;553;1;35;1;30;1;40;1;19;1;16;1;22
17.07.2020;533;508;564;520;491;551;1;21;1;16;1;28;1;17;1;14;1;19
18.07.2020;486;460;510;512;484;541;1;13;1;8;1;19;1;14;1;12;1;17
19.07.2020;517;495;543;501;475;529;1;1;0;98;1;5;1;16;1;13;1;18
20.07.2020;691;657;720;557;530;584;1;7;1;2;1;10;1;17;1;15;1;20
21.07.2020;699;670;732;598;570;626;1;15;1;11;1;19;1;19;1;17;1;22
22.07.2020;736;708;768;661;632;691;1;29;1;25;1;33;1;20;1;17;1;22
23.07.2020;676;643;712;701;669;733;1;40;1;36;1;45;1;19;1;17;1;21
24.07.2020;691;658;721;700;669;733;1;26;1;22;1;30;1;17;1;15;1;19
25.07.2020;617;589;651;680;649;713;1;14;1;9;1;17;1;14;1;12;1;16
26.07.2020;607;577;638;648;616;680;0;98;0;94;1;1;1;12;1;10;1;14
27.07.2020;824;787;860;685;652;717;0;98;0;94;1;1;1;9;1;7;1;11
28.07.2020;765;732;804;703;671;738;1;0;0;97;1;4;1;6;1;5;1;8
29.07.2020;740;712;772;734;702;768;1;8;1;5;1;12;1;6;1;4;1;8
30.07.2020;763;730;798;773;740;808;1;19;1;15;1;24;1;5;1;3;1;7
31.07.2020;775;737;809;761;728;796;1;11;1;7;1;15;1;8;1;6;1;10
01.08.2020;823;785;865;775;741;811;1;10;1;7;1;14;1;13;1;11;1;15
02.08.2020;889;848;927;813;775;849;1;11;1;7;1;14;1;17;1;15;1;18
03.08.2020;1079;1040;1124;892;852;931;1;15;1;12;1;19;1;19;1;17;1;21
04.08.2020;993;955;1032;946;907;987;1;24;1;20;1;28;1;19;1;17;1;21
05.08.2020;988;948;1031;987;948;1028;1;27;1;24;1;31;1;17;1;16;1;20
06.08.2020;1004;961;1048;1016;976;1059;1;25;1;21;1;29;1;17;1;15;1;19
07.08.2020;1052;1006;1103;1009;967;1053;1;13;1;10;1;17;1;16;1;14;1;18
08.08.2020;1002;952;1051;1011;967;1058;1;7;1;4;1;11;1;13;1;12;1;15
09.08.2020;1041;994;1089;1025;978;1073;1;4;1;1;1;7;1;14;1;12;1;16
